iter	Passed	Remaining
0	159	158852
1	159	79832
2	160	53464
3	161	40289
4	162	32359
5	165	27441
6	166	23641
7	167	20767
8	168	18533
9	169	16747
10	170	15287
11	172	14182
12	173	13179
13	174	12287
14	175	11512
15	176	10832
16	180	10465
17	181	9924
18	182	9426
19	183	8983
20	184	8583
21	185	8224
22	186	7937
23	187	7643
24	188	7360
25	189	7099
26	190	6879
27	195	6794
28	196	6584
29	197	6384
30	198	6198
31	199	6042
32	201	5913
33	202	5760
34	203	5606
35	204	5471
36	205	5339
37	205	5210
38	207	5103
39	208	4999
40	209	4892
41	210	4794
42	211	4710
43	212	4622
44	214	4552
45	216	4489
46	217	4406
47	218	4325
48	218	4248
49	220	4190
50	222	4141
51	223	4074
52	224	4008
53	225	3943
54	225	3881
55	226	3822
56	228	3778
57	229	3733
58	230	3678
59	231	3625
60	232	3575
61	233	3526
62	237	3526
63	238	3484
64	239	3447
65	240	3406
66	246	3427
67	246	3383
68	247	3341
69	248	3301
70	251	3285
71	252	3251
72	253	3213
73	253	3177
74	254	3142
75	255	3111
76	259	3112
77	260	3078
78	261	3047
79	262	3015
80	263	2986
81	267	2995
82	268	2961
83	269	2934
84	270	2907
85	274	2912
86	275	2889
87	276	2867
88	278	2847
89	282	2856
90	283	2830
91	284	2805
92	285	2782
93	288	2777
94	289	2758
95	290	2734
96	291	2709
97	291	2685
98	295	2689
99	296	2669
100	297	2650
101	298	2631
102	299	2610
103	303	2619
104	305	2603
105	307	2589
106	309	2583
107	310	2567
108	311	2549
109	312	2530
110	313	2513
111	316	2512
112	318	2496
113	318	2478
114	319	2459
115	320	2440
116	320	2420
117	321	2403
118	323	2396
119	324	2383
120	325	2366
121	326	2350
122	327	2334
123	328	2319
124	333	2337
125	334	2323
126	335	2307
127	340	2320
128	341	2306
129	343	2297
130	347	2306
131	348	2292
132	349	2277
133	350	2263
134	351	2249
135	352	2241
136	354	2232
137	355	2219
138	356	2205
139	356	2192
140	358	2183
141	359	2174
142	360	2161
143	361	2149
144	362	2137
145	363	2125
146	364	2113
147	367	2115
148	369	2109
149	370	2101
150	372	2091
151	376	2098
152	377	2087
153	378	2078
154	379	2068
155	383	2073
156	384	2062
157	385	2053
158	390	2066
159	392	2060
160	393	2049
161	395	2047
162	397	2041
163	398	2031
164	400	2024
165	406	2042
166	407	2031
167	408	2023
168	410	2019
169	411	2011
170	413	2002
171	413	1992
172	414	1983
173	417	1983
174	419	1979
175	420	1969
176	421	1959
177	422	1950
178	423	1943
179	425	1937
180	426	1928
181	427	1922
182	428	1913
183	429	1904
184	430	1896
185	433	1897
186	434	1889
187	435	1880
188	436	1872
189	437	1863
190	438	1857
191	440	1853
192	441	1845
193	442	1837
194	443	1830
195	444	1823
196	449	1833
197	450	1825
198	451	1817
199	456	1825
200	457	1818
201	458	1809
202	458	1801
203	459	1794
204	462	1794
205	464	1788
206	465	1781
207	465	1773
208	466	1765
209	467	1757
210	469	1756
211	471	1751
212	472	1744
213	472	1736
214	473	1729
215	474	1722
216	479	1730
217	480	1723
218	481	1716
219	482	1709
220	483	1705
221	486	1704
222	487	1697
223	488	1691
224	493	1700
225	494	1694
226	495	1688
227	496	1681
228	497	1673
229	498	1669
230	500	1665
231	501	1659
232	501	1652
233	502	1645
234	503	1638
235	504	1632
236	505	1628
